2025-09-08 01:08:05 | INFO | Logging to file: logs/project_log.log
2025-09-08 01:08:27 | INFO | Patient David Lee is here at the hospital; he has checked in at the hospital.
2025-09-08 01:08:27.818 | INFO     | __main__:main:74 - Patient David Lee is here at the hospital; he has checked in at the hospital.
2025-09-08 01:08:28 | INFO | Patient Mary Johnson is here at the hospital; she completed the registration process.
2025-09-08 01:08:28.819 | INFO     | __main__:main:74 - Patient Mary Johnson is here at the hospital; she completed the registration process.
2025-09-08 01:08:29 | INFO | Patient Alex Kim is here at the hospital; they just arrived at the reception desk.
2025-09-08 01:08:29.820 | INFO     | __main__:main:74 - Patient Alex Kim is here at the hospital; they just arrived at the reception desk.
2025-09-08 01:08:33 | INFO | Patient Jane Smith is here at the hospital; she is here for their appointment.
2025-09-08 01:08:33.366 | INFO     | __main__:main:74 - Patient Jane Smith is here at the hospital; she is here for their appointment.
2025-09-08 01:08:34 | INFO | Patient David Lee is here at the hospital; he has checked in at the hospital.
2025-09-08 01:08:34.367 | INFO     | __main__:main:74 - Patient David Lee is here at the hospital; he has checked in at the hospital.
2025-09-08 01:08:35 | INFO | Patient David Lee is here at the hospital; he has checked in at the hospital.
2025-09-08 01:08:35.368 | INFO     | __main__:main:74 - Patient David Lee is here at the hospital; he has checked in at the hospital.
2025-09-08 01:08:36 | INFO | Patient Samantha Brown is here at the hospital; she is waiting in the lobby.is with the provider.
2025-09-08 01:08:36.369 | INFO     | __main__:main:74 - Patient Samantha Brown is here at the hospital; she is waiting in the lobby.is with the provider.
2025-09-08 01:09:27 | INFO | Logging to file: logs/project_log.log
2025-09-08 01:09:27 | INFO | Log sanitization enabled, personal info will be removed
2025-09-08 01:09:27 | INFO | Log folder created at: logs
2025-09-08 01:09:27 | INFO | Logging to file: logs/project_log.log
2025-09-08 01:09:27.729 | INFO     | utils.utils_logger:<module>:155 - Logging to file: logs/project_log.log
2025-09-08 01:09:27 | INFO | START patient check-in consumer...
2025-09-08 01:09:27.736 | INFO     | __main__:main:11 - START patient check-in consumer...
2025-09-08 01:09:47 | INFO | Logging to file: logs/project_log.log
2025-09-08 01:09:47 | INFO | Log sanitization enabled, personal info will be removed
2025-09-08 01:09:47 | INFO | Log folder created at: logs
2025-09-08 01:09:47 | INFO | Logging to file: logs/project_log.log
2025-09-08 01:09:47.671 | INFO     | utils.utils_logger:<module>:155 - Logging to file: logs/project_log.log
2025-09-08 01:09:47 | INFO | START patient check-in producer...
2025-09-08 01:09:47.678 | INFO     | __main__:main:68 - START patient check-in producer...
2025-09-08 01:09:47 | INFO | Hit CTRL c (or CMD c) to close.
2025-09-08 01:09:47.680 | INFO     | __main__:main:69 - Hit CTRL c (or CMD c) to close.
2025-09-08 01:09:47 | INFO | Messages will be sent every 1 seconds.
2025-09-08 01:09:47.680 | INFO     | __main__:get_message_interval:20 - Messages will be sent every 1 seconds.
2025-09-08 01:09:47 | INFO | Patient Mary Johnson is here at the hospital; she completed the registration process.
2025-09-08 01:09:47.681 | INFO     | __main__:main:74 - Patient Mary Johnson is here at the hospital; she completed the registration process.
2025-09-08 01:09:48 | INFO | Patient David Lee is here at the hospital; he is waiting in the lobby.is with the provider.
2025-09-08 01:09:48.681 | INFO     | __main__:main:74 - Patient David Lee is here at the hospital; he is waiting in the lobby.is with the provider.
2025-09-08 01:09:49 | INFO | Patient Jane Smith is here at the hospital; she just arrived at the reception desk.
2025-09-08 01:09:49.683 | INFO     | __main__:main:74 - Patient Jane Smith is here at the hospital; she just arrived at the reception desk.
2025-09-08 01:09:50 | INFO | Patient Mary Johnson is here at the hospital; she is here for their appointment.
2025-09-08 01:09:50.684 | INFO     | __main__:main:74 - Patient Mary Johnson is here at the hospital; she is here for their appointment.
2025-09-08 01:09:51 | INFO | Patient Mary Johnson is here at the hospital; she has checked in at the hospital.
2025-09-08 01:09:51.687 | INFO     | __main__:main:74 - Patient Mary Johnson is here at the hospital; she has checked in at the hospital.
2025-09-08 01:09:52 | INFO | Patient Alex Kim is here at the hospital; they is waiting in the lobby.is with the provider.
2025-09-08 01:09:52.688 | INFO     | __main__:main:74 - Patient Alex Kim is here at the hospital; they is waiting in the lobby.is with the provider.
2025-09-08 01:09:53 | INFO | Patient Jane Smith is here at the hospital; she is waiting in the lobby.is with the provider.
2025-09-08 01:09:53.689 | INFO     | __main__:main:74 - Patient Jane Smith is here at the hospital; she is waiting in the lobby.is with the provider.
2025-09-08 01:09:54 | INFO | Patient Jane Smith is here at the hospital; she just arrived at the reception desk.
2025-09-08 01:09:54.690 | INFO     | __main__:main:74 - Patient Jane Smith is here at the hospital; she just arrived at the reception desk.
2025-09-08 01:09:55 | INFO | Patient Alex Kim is here at the hospital; they has checked in at the hospital.
2025-09-08 01:09:55.698 | INFO     | __main__:main:74 - Patient Alex Kim is here at the hospital; they has checked in at the hospital.
2025-09-08 01:09:56 | INFO | Patient John Doe is here at the hospital; he has checked in at the hospital.
2025-09-08 01:09:56.700 | INFO     | __main__:main:74 - Patient John Doe is here at the hospital; he has checked in at the hospital.
2025-09-08 01:09:57 | INFO | Patient Mary Johnson is here at the hospital; she is waiting in the lobby.is with the provider.
2025-09-08 01:09:57.703 | INFO     | __main__:main:74 - Patient Mary Johnson is here at the hospital; she is waiting in the lobby.is with the provider.
2025-09-08 01:09:58 | INFO | Patient Aman Ruth is here at the hospital; he just arrived at the reception desk.
2025-09-08 01:09:58.706 | INFO     | __main__:main:74 - Patient Aman Ruth is here at the hospital; he just arrived at the reception desk.
2025-09-08 01:09:59 | INFO | Patient Mary Johnson is here at the hospital; she is here for their appointment.
2025-09-08 01:09:59.708 | INFO     | __main__:main:74 - Patient Mary Johnson is here at the hospital; she is here for their appointment.
